Name of the video,Link of the playlist
🇲🇲 Lost In Burma | Adventures In Squiggle Town,https://www.youtube.com/playlist?list=PLqWdYjn21PdFDilN4sTgxR67eHHR73uye
You Won&#39;t Believe This Is Europe In 2019! 🇧🇾,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
Chernobyl Village BBQ Gone Wrong! 🇧🇾,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
Czech This Out!🇨🇿,
Would You Try This Armenian Food?! 🇦🇲,https://www.youtube.com/playlist?list=PLqWdYjn21PdE-jqSQln3533ZlB-eqb9X-
🍺 Trying Diablo | Burma&#39;s Strongest Drink,https://www.youtube.com/playlist?list=PLqWdYjn21PdFDilN4sTgxR67eHHR73uye
🇮🇳 Trying $0.25 Spicy Tibetan Laping Noodles | India Food Vlog,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Delivering Vodka In The Chernobyl Zone 🇧🇾,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
Midnight Tacos In Mexico City 🇲🇽,https://www.youtube.com/playlist?list=PLqWdYjn21PdEk7GGalF0JYuA4_RYgUZrQ
Stalin&#39;s Soviet Theme Park!,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
The Worst Fisherwoman On The Black Sea!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFx8L_azM0_mcIHKGxDQEoK
Ukraine&#39;s Frustratingly Long City: Kryvyi Rih 🇺🇦,"https://www.youtube.com/playlist?list=PLqWdYjn21PdG4jNdzYjhe6N1bVA6CPWH8, https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6"
The Gangs Of Chechersk 🇧🇾,https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9
Visiting A Shaman In Tuva,
Tea Time In The Himalayas,
Do Not Study Russian Grammar!,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
The World&#39;s Cheapest VIP Cruise! $12!,
The Road To Karabakh 🇦🇲,"https://www.youtube.com/playlist?list=PLqWdYjn21PdE-jqSQln3533ZlB-eqb9X-, https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6"
Ancient Indian Technology Revealed,
Heading To Chechnya ( UFC Part 3 ),"https://www.youtube.com/playlist?list=PLqWdYjn21PdEd-due6bx96h934zhAekgo, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Motorcycle Hunt In Udaipur India,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Avoid This Guy In India! | Crazy Beggar,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
🇲🇲 Trying 20¢ Cold Burmese Noodles | Worst Meal Ever!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFDilN4sTgxR67eHHR73uye
Lost In Chechnya ( UFC Part 4 ),"https://www.youtube.com/playlist?list=PLqWdYjn21PdEd-due6bx96h934zhAekgo, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Lost In No-Lockdown Minsk 🇧🇾,
The Village That Disappeared 🇧🇾,
Rickshaw Scam | First Day Back In India!,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Look What I Found In Armenia! 🇦🇲,https://www.youtube.com/playlist?list=PLqWdYjn21PdE-jqSQln3533ZlB-eqb9X-
One Hour On Lake Baikal,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Dodgy Burgers And Gopnik Dogs In Ukraine 🇺🇦,https://www.youtube.com/playlist?list=PLqWdYjn21PdG4jNdzYjhe6N1bVA6CPWH8
Lost In Mexico City 🇲🇽,https://www.youtube.com/playlist?list=PLqWdYjn21PdEk7GGalF0JYuA4_RYgUZrQ
Delhi Hotel Hunt,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Khabib Returns To Dagestan ( UFC Part 6 ),"https://www.youtube.com/playlist?list=PLqWdYjn21PdEd-due6bx96h934zhAekgo, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Punched By Moldova&#39;s Toughest BOMZH,https://www.youtube.com/playlist?list=PLqWdYjn21PdEO19u10zTJCrNazOKq6gf6
Mexico&#39;s Worst Breakfast 🇲🇽,https://www.youtube.com/playlist?list=PLqWdYjn21PdEk7GGalF0JYuA4_RYgUZrQ
What Did I just Step On Inside This Church?!,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Hustled by Indian Girls,
KARABASH...Russia&#39;s Toxic Town,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Would You Ride This Russian Train?,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Journey To The Centre Of Asia,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Money Necklace Social Experiment | Thieve&#39;s Market India 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Morning Vegetable Market Tour 🍆🍌🌽,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
I Tried Every Beer In Belarus...It Took Three Days,
Inside Chernobyl&#39;s Abandoned Ghost Town | Pripyat,
Visiting A Soviet Barber Shop!,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
"Soviet Hotel Review #2 Hotel Cosmos, Moscow",https://www.youtube.com/playlist?list=PLqWdYjn21PdG2zh9u4ZHeySkKnNq3lJcq
India&#39;s Most Haunted Bridge,
10 Things I Hate About India! 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Nobody Visits This Country...Find Out Why You Should!,
This Is Georgia...Get Ready!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFx8L_azM0_mcIHKGxDQEoK
English Cowboy In Russia,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
"Soviet Hotel Review #1 Hotel Circus, Gomel","https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9, https://www.youtube.com/playlist?list=PLqWdYjn21PdG2zh9u4ZHeySkKnNq3lJcq"
A Foreigner Speaks Hindi  ( Like A Local ),
Two Foreigners Speaking Hindi In India,
WORLD&#39;S GREATEST ROAD TRIP - INDIA,
Soviet Hotel Review #3 The Mongoluk,https://www.youtube.com/playlist?list=PLqWdYjn21PdG2zh9u4ZHeySkKnNq3lJcq
I ❤️ India&#39;s Policewomen,
Could You Live In This Country? 🇨🇺,https://www.youtube.com/playlist?list=PLqWdYjn21PdH-1LtsdiGSbuFMI7pbGnQ2
Crazy Russian Bus Ride,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Riding The Rails In Mumbai // India,
Return To The Last House In The Chernobyl  Zone 🇧🇾,https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9
Arrival In India,
Smuggling A Street-Cat out of Cuba 🇨🇺,https://www.youtube.com/playlist?list=PLqWdYjn21PdH-1LtsdiGSbuFMI7pbGnQ2
Lost In Deepest Belarus 🇧🇾,https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9
Entering A Bolivian Village...With A Briefcase,https://www.youtube.com/playlist?list=PLqWdYjn21PdFLL0gOBMRf3HmyLQ6B_IW_
Indian Truckers: World&#39;s Greatest Drivers,
I Got Kicked Out Of A Bolivian Village!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFLL0gOBMRf3HmyLQ6B_IW_
Look Who I Found In The Chernobyl Zone!,https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
Visaginas: Lithuania&#39;s Nuclear Town  🇱🇹,
Train Surfing In Bangladesh ( Extremely Dangerous! ),
Eating Cow Brain With Albanians 🇦🇱,https://www.youtube.com/playlist?list=PLqWdYjn21PdGZd1ZKgx6UwOSVGFkbJk_J
Looking For Love In A Ukrainian Village ( Isn&#39;t Easy ) 🇺🇦,https://www.youtube.com/playlist?list=PLqWdYjn21PdG4jNdzYjhe6N1bVA6CPWH8
Goa To Mumbai Adventure 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Solo In Mexico&#39;s Most Dangerous Barrio 🇲🇽,https://www.youtube.com/playlist?list=PLqWdYjn21PdEk7GGalF0JYuA4_RYgUZrQ
KGB Encounters In Azerbaijan 🇦🇿,"https://www.youtube.com/playlist?list=PLqWdYjn21PdHbg-fNeFblgEbTVLZr0u7d, https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6"
Tibetan Market &amp; Temple Tour // Delhi,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Russian Villager Shocked By His Selfie!,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Visiting Russia&#39;s Most Dangerous Town | Посещение самого опасного города в России,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Watching UFC In Dagestan ( UFC Part 1 ),"https://www.youtube.com/playlist?list=PLqWdYjn21PdEd-due6bx96h934zhAekgo, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
The Road To Ratus 🇲🇩,https://www.youtube.com/playlist?list=PLqWdYjn21PdEO19u10zTJCrNazOKq6gf6
Pink Sausages And Vodka | Journey to The Provinces Of Belarus 🇧🇾,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
These Guys Will Crush Pewdiepie | India&#39;s YouTube Sensations 🇮🇳,
You Won&#39;t Believe This Russian Road!,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Solo Through The Chernobyl Swamp,https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
Attacked At India&#39;s Most Expensive Hotel 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Inside India&#39;s Smuggling Town 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
The Country Where They Didn&#39;t Lockdown!,
Khabib Time Begins In Ingushetia ( UFC Part 2 ),"https://www.youtube.com/playlist?list=PLqWdYjn21PdEd-due6bx96h934zhAekgo, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Motorcycling India With Harald Baldr,
You Won&#39;t Believe This Cuban Bus! 🇨🇺,https://www.youtube.com/playlist?list=PLqWdYjn21PdH-1LtsdiGSbuFMI7pbGnQ2
I Slept In Kyrgyzstan&#39;s Worst Hotel 🇰🇬,https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
Almost Khabib Time In Dagestan ( UFC Part 5 ),"https://www.youtube.com/playlist?list=PLqWdYjn21PdEd-due6bx96h934zhAekgo, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
I Got Drunk With Babushkas 🍷,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdEO19u10zTJCrNazOKq6gf6"
Eating In A Soviet Restaurant,
World&#39;s Cheapest Barber Shop | Unexpected Ending In Burma!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFDilN4sTgxR67eHHR73uye
KhTZ: Ukraine&#39;s Most Dangerous Hood 🇺🇦,"https://www.youtube.com/playlist?list=PLqWdYjn21PdG4jNdzYjhe6N1bVA6CPWH8, https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6"
Tuva Blues: &#39;Adventures In Throat Singing&#39;,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Partying In Europe&#39;s Biggest Slum | Lunik IX,https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
Varanasi Religious Night Market 🕉,
Trying Mexico&#39;s Village Blood Drink 🇲🇽,https://www.youtube.com/playlist?list=PLqWdYjn21PdEk7GGalF0JYuA4_RYgUZrQ
Caught Sneaking Into Stalin&#39;s Sanatorium!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFx8L_azM0_mcIHKGxDQEoK
Stranded In Russia&#39;s Creepiest Village,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Foreigner Wears A Turban In India 👳‍♂️,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Solo In Bolivia&#39;s Most Dangerous Hood,https://www.youtube.com/playlist?list=PLqWdYjn21PdFLL0gOBMRf3HmyLQ6B_IW_
Village Babushka Dances For Englishman In Russia,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Looking For A Drink In Deepest Siberia 🇷🇺,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
The Last House In The Chernobyl Village,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
Solo Along The Ukrainian-Russian Border ( One Day Before Invasion ),"https://www.youtube.com/playlist?list=PLqWdYjn21PdG4jNdzYjhe6N1bVA6CPWH8, https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6"
This Country Does Not Exist! | Transnistria,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdEO19u10zTJCrNazOKq6gf6"
I Got Drunk With Lithuania&#39;s Most Notorious Gangster 🇱🇹,https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
Russian Girls Try Indian Food For The First Time! 🇮🇳,"https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n, https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv"
Beslan: Russia&#39;s Tragedy,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Mumbai Mall Party,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
My Indian Stalker,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
"Bargaining At Thieve&#39;s Market | Chor Bazaar, Delhi",https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Nobody Visits This Country...Find Out Why,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdEO19u10zTJCrNazOKq6gf6"
I Scared A Russian Babushka...,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
🇷🇺 Would You Live Here?! ( ft. NFKRZ ),https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Delhi&#39;s  Secret Tibetan Colony | Majnu-ka-tilla,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Foreigner Teaches Essential Hindi Phrases 🇮🇳,
Indian Bus Scammer Exposed! 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Crazy Indian Street Bar // Kingfeemer Time!,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Inside The Belarus Chernobyl Zone 🇧🇾,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
Escape From The Bolivian Village: A Babushka Boy Adventure,https://www.youtube.com/playlist?list=PLqWdYjn21PdFLL0gOBMRf3HmyLQ6B_IW_
Don&#39;t Film In This African Country! 🇲🇷,https://www.youtube.com/playlist?list=PLqWdYjn21PdFoKJdCz3Lu16MF_tN_4UFI
"Sikh For A Day | Amritsar, India",https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Is This Really Europe?!,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
This Man Threw My Beer Away! 🇨🇺,https://www.youtube.com/playlist?list=PLqWdYjn21PdH-1LtsdiGSbuFMI7pbGnQ2
Hunting For India&#39;s Hijras,
Why I Returned To India After 20 Years,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
You Must Do THIS On Russian Trains!,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
Is Your City This Crazy?! Mumbai Madness,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Drunk Mumbai Television Interview ( Pure Cringe ),
"Jodhpur Backstreet Tour,  India",
Return To The Belarus Chernobyl Zone...With Shopping Bags 🇧🇾,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
The Secret Soviet Nuclear Bunker 🇲🇩,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdEO19u10zTJCrNazOKq6gf6"
Lost In Kalmykia | Europe&#39;s Weirdest Republic,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Forced To Drink From Shoe By Prague Bully 🇨🇿,
Visiting The Witch Doctor,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdFx8L_azM0_mcIHKGxDQEoK"
Drinking Vodka In A Soviet Apartment...What Could Go Wrong?!,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
Drinking With Indian Girls! 👩🏿,
Solo In Estonia&#39;s East 🇪🇪,https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
The BAM: Russia&#39;s Unknown Trans-Siberian Train🇷🇺,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
She Has Lived In This Hotel For 25 Years!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFx8L_azM0_mcIHKGxDQEoK
Delhi&#39;s Worst Bazaar? | Paharganj 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Hunting The Caspian Sea Monster 🇷🇺,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Inside Perm 36: The Last Gulag,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
India&#39;s Unknown Border | Journey To The Edge Of India 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Where Tourists Don&#39;t GO 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Party In A Ukrainian Soviet Village!,"https://www.youtube.com/playlist?list=PLqWdYjn21PdG4jNdzYjhe6N1bVA6CPWH8, https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
The Ukraine You&#39;ve Never Seen before 🇺🇦,https://www.youtube.com/playlist?list=PLqWdYjn21PdG4jNdzYjhe6N1bVA6CPWH8
Exploring Mumbai&#39;s Oldest Market,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Stranded On A Russian Highway!,"https://www.youtube.com/playlist?list=PLqWdYjn21PdFLL0gOBMRf3HmyLQ6B_IW_, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
I Gave A Lada Taxi Driver $3 And Said Drive!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFx8L_azM0_mcIHKGxDQEoK
Solo Through War-Torn Donbass 🇺🇦,"https://www.youtube.com/playlist?list=PLqWdYjn21PdG4jNdzYjhe6N1bVA6CPWH8, https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6"
Lost On GB Road | Tales From India 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Visiting Russia&#39;s Poorest Town 🇷🇺,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
India&#39;s Hardest Job!,
Searching For Ganja In Azerbaijan 🇦🇿,"https://www.youtube.com/playlist?list=PLqWdYjn21PdHbg-fNeFblgEbTVLZr0u7d, https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6"
India&#39;s Craziest City | Varanasi 🇮🇳,
Avoid This Bolivian Taxi Driver!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFLL0gOBMRf3HmyLQ6B_IW_
Would You Do This?,
🇮🇳 India Outtakes 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Chechnya Isn&#39;t What You&#39;d Expect!,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
Looking For Jesus In Kashmir,
Is Karl Rock Right: Are Indians Scammers?,
Solo On The World&#39;s Longest Train Journey 🇷🇺,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n"
