Title,Published Date,Viewer Count,Chapter Markers,Duration,Playlists
This Man Threw My Beer Away! 🇨🇺,2020-02-21T16:56:48Z,1584282,,PT20M10S,🇨🇺CUBA🇨🇺
Could You Live In This Country? 🇨🇺,2020-02-17T21:10:12Z,2829766,,PT10M55S,🇨🇺CUBA🇨🇺
You Won&#39;t Believe This Cuban Bus! 🇨🇺,2020-02-14T22:22:55Z,2300909,,PT14M24S,🇨🇺CUBA🇨🇺
You Won&#39;t Believe This Cuban Bus! 🇨🇺,2020-02-14T22:22:55Z,2300909,,PT14M24S,🇨🇺CUBA🇨🇺
The Cuba They Don&#39;t Want You To See 🇨🇺,2020-02-11T02:53:22Z,6161322,,PT18M46S,🇨🇺CUBA🇨🇺
The Cuba They Don&#39;t Want You To See 🇨🇺,2020-02-11T02:53:22Z,6161311,,PT18M46S,🇨🇺CUBA🇨🇺
Inside Chernobyl&#39;s Abandoned Ghost Town | Pripyat,2020-01-12T13:18:58Z,2500417,,PT12M53S,
Don&#39;t Film In This African Country! 🇲🇷,2020-01-07T02:57:03Z,3083749,,PT14M40S,🇲🇷MAURITANIA🇲🇷
Searching For The Chernobyl Resettlers,2019-12-24T22:10:07Z,3431234,,PT10M20S,☭ Soviet Playlist ☭
Look Who I Found In The Chernobyl Zone!,2019-12-16T05:52:33Z,2879043,,PT10M12S,☭ Soviet Playlist ☭
Alone In The Chernobyl Forest 🇧🇾,2019-12-14T15:26:54Z,925725,,PT12M9S,
KGB Encounters In Azerbaijan 🇦🇿,2019-12-06T13:50:05Z,4931772,,PT19M5S,"🇦🇿AZERBAIJAN🇦🇿, ☭ Soviet Playlist ☭"
Searching For Ganja In Azerbaijan 🇦🇿,2019-12-03T16:07:35Z,3169419,,PT23M4S,"🇦🇿AZERBAIJAN🇦🇿, ☭ Soviet Playlist ☭"
Would You Cross This Russian Border By Train? 🇷🇺,2019-11-30T10:39:39Z,2571849,,PT14M51S,🇷🇺 RUSSIA 🇷🇺
Stranded In Russia&#39;s Creepiest Village,2019-11-15T08:42:40Z,4354250,,PT20M26S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Visiting A Soviet Barber Shop!,2019-11-13T14:23:05Z,2322444,,PT15M10S,🇷🇺 RUSSIA 🇷🇺
Hanging With The Elders Of Dagestan,2019-11-11T14:45:02Z,2611536,,PT12M34S,🇷🇺 RUSSIA 🇷🇺
Would You Ride The Night Train To Chechnya?,2019-11-05T15:20:09Z,3496264,,PT10M7S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Escape From The Bolivian Village: A Babushka Boy Adventure,2019-10-25T18:37:05Z,1095473,,PT11M15S,🇧🇴 Bolivia 🇧🇴
Entering A Bolivian Village...With A Briefcase,2019-10-23T10:17:17Z,2540502,,PT11M37S,🇧🇴 Bolivia 🇧🇴
I Got Kicked Out Of A Bolivian Village!,2019-10-21T10:05:58Z,3395278,,PT11M38S,🇧🇴 Bolivia 🇧🇴
I Got Kicked Out Of A Bolivian Village!,2019-10-21T10:05:58Z,3395278,,PT11M38S,🇧🇴 Bolivia 🇧🇴
A Short Film About Buying A Bolivian Hat ( Not Clickbait! ),2019-10-18T07:39:30Z,669507,,PT10M8S,🇧🇴 Bolivia 🇧🇴
Solo In Bolivia&#39;s Most Dangerous Hood,2019-10-17T11:20:35Z,9039104,,PT12M28S,🇧🇴 Bolivia 🇧🇴
Solo In Bolivia&#39;s Most Dangerous Hood,2019-10-17T11:20:35Z,9039114,,PT12M28S,🇧🇴 Bolivia 🇧🇴
Delivering Vodka In The Chernobyl Zone 🇧🇾,2019-09-22T07:23:13Z,3687874,,PT10M30S,"☭ Soviet Playlist ☭, 🇧🇾 THE OTHER CHERNOBYL 🇧🇾"
I Found A Soviet Goblin! ( Jump Scare Warning! ),2019-09-10T02:04:17Z,2727708,,PT16M28S,☭ Soviet Playlist ☭
KARABASH...Russia&#39;s Toxic Town,2019-09-08T08:42:19Z,2867825,,PT21M29S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
🇷🇺 Would You Live Here?! ( ft. NFKRZ ),2019-09-06T04:37:46Z,2088311,,PT21M32S,🇷🇺 RUSSIA 🇷🇺
What Did I just Step On Inside This Church?!,2019-09-01T07:18:23Z,1623592,,PT16M52S,🇷🇺 RUSSIA 🇷🇺
You Won&#39;t Believe This Russian Road!,2019-08-27T18:55:19Z,2012763,,PT17M55S,🇷🇺 RUSSIA 🇷🇺
You Won&#39;t Believe This Russian Road!,2019-08-27T18:55:19Z,2012763,,PT17M55S,🇷🇺 RUSSIA 🇷🇺
Russian Villager Shocked By His Selfie!,2019-08-25T13:52:52Z,1877472,,PT13M13S,🇷🇺 RUSSIA 🇷🇺
I Scared A Russian Babushka...,2019-08-23T06:07:00Z,2006009,,PT14M39S,🇷🇺 RUSSIA 🇷🇺
Village Babushka Dances For Englishman In Russia,2019-08-22T05:20:09Z,1357252,,PT12M13S,🇷🇺 RUSSIA 🇷🇺
Would You Ride This Russian Train?,2019-08-20T21:42:37Z,2955701,,PT12M21S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Would You Do This?,2019-08-02T19:12:08Z,2177721,,PT28M1S,
Partying In Europe&#39;s Biggest Slum | Lunik IX,2019-07-21T11:37:13Z,3506969,,PT13M5S,☭ Soviet Playlist ☭
The Worst Fisherwoman On The Black Sea!,2019-07-12T11:04:27Z,1869985,,PT16M19S,🇬🇪 Georgia 🇬🇪
I Found Europe&#39;s Strangest Town!,2019-07-09T15:31:07Z,1359095,,PT16M43S,🇬🇪 Georgia 🇬🇪
Caught Sneaking Into Stalin&#39;s Sanatorium!,2019-07-01T23:38:01Z,2421841,,PT12M12S,🇬🇪 Georgia 🇬🇪
Caught Sneaking Into Stalin&#39;s Sanatorium!,2019-07-01T23:38:01Z,2421844,,PT12M12S,🇬🇪 Georgia 🇬🇪
This Is Georgia...Get Ready!,2019-06-29T21:16:32Z,1311994,,PT1M33S,🇬🇪 Georgia 🇬🇪
Stalin&#39;s Soviet Theme Park!,2019-06-27T00:34:51Z,1898815,,PT13M53S,🇷🇺 RUSSIA 🇷🇺
Don&#39;t Do This In Russia!,2019-06-25T06:01:53Z,3801797,,PT9M14S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Hidden Rooms In Moscow&#39;s Soviet Hotel,2019-06-23T03:11:02Z,1918384,,PT11M16S,🇷🇺 RUSSIA 🇷🇺
Return To The Last House In The Chernobyl  Zone 🇧🇾,2019-05-27T14:07:53Z,2581883,,PT14M14S,🇧🇾 THE OTHER CHERNOBYL 🇧🇾
Chernobyl Village BBQ Gone Wrong! 🇧🇾,2019-05-19T08:51:22Z,8089354,,PT12M40S,"☭ Soviet Playlist ☭, 🇧🇾 THE OTHER CHERNOBYL 🇧🇾"
The Last House In The Chernobyl Village,2019-05-16T23:07:31Z,5737281,,PT18M17S,"☭ Soviet Playlist ☭, 🇧🇾 THE OTHER CHERNOBYL 🇧🇾"
Could You Pass The Russian Gopnik Test?!,2019-05-08T16:40:27Z,3562895,,PT20M54S,"☭ Soviet Playlist ☭, 🇧🇾 THE OTHER CHERNOBYL 🇧🇾"
Punched By Moldova&#39;s Toughest BOMZH,2019-05-01T15:57:14Z,2296275,,PT9M35S,🇲🇩 Moldova 🇲🇩
I Got Drunk With Babushkas 🍷,2019-04-22T21:09:02Z,3428926,,PT13M44S,"☭ Soviet Playlist ☭, 🇲🇩 Moldova 🇲🇩"
This Country Does Not Exist! | Transnistria,2019-04-19T12:37:11Z,6733427,,PT18M31S,"☭ Soviet Playlist ☭, 🇲🇩 Moldova 🇲🇩"
The Road To Ratus 🇲🇩,2019-04-13T22:17:07Z,2166434,,PT19M13S,🇲🇩 Moldova 🇲🇩
Nobody Visits This Country...Find Out Why,2019-04-11T12:56:25Z,11455079,,PT16M24S,"☭ Soviet Playlist ☭, 🇲🇩 Moldova 🇲🇩"
🇧🇾 Goodbye Belarus,2019-03-22T04:52:48Z,1644445,,PT14M49S,🇧🇾 THE OTHER CHERNOBYL 🇧🇾
The Gangs Of Chechersk 🇧🇾,2019-03-19T21:46:19Z,2454463,,PT9M48S,🇧🇾 THE OTHER CHERNOBYL 🇧🇾
Inside The Belarus Chernobyl Zone 🇧🇾,2019-03-18T19:12:44Z,5253052,,PT19M2S,"☭ Soviet Playlist ☭, 🇧🇾 THE OTHER CHERNOBYL 🇧🇾"
I Stayed In Europe&#39;s Cheapest Hotel! 🇧🇾,2019-03-17T02:09:12Z,2035383,,PT5M53S,🇧🇾 THE OTHER CHERNOBYL 🇧🇾
You Won&#39;t Believe This Is Europe In 2019! 🇧🇾,2019-03-08T11:22:28Z,3825564,,PT15M16S,"☭ Soviet Playlist ☭, 🇧🇾 THE OTHER CHERNOBYL 🇧🇾"
Lost In Deepest Belarus 🇧🇾,2019-03-07T12:14:32Z,2416470,,PT24M28S,🇧🇾 THE OTHER CHERNOBYL 🇧🇾
Belarus Girl Invites Me for Lunch...I Have To Pay! 🇧🇾,2019-03-05T07:26:27Z,5224056,,PT21M6S,"☭ Soviet Playlist ☭, 🇧🇾 THE OTHER CHERNOBYL 🇧🇾"
Pink Sausages And Vodka | Journey to The Provinces Of Belarus 🇧🇾,2019-03-03T20:50:18Z,3290420,,PT23M6S,"☭ Soviet Playlist ☭, 🇧🇾 THE OTHER CHERNOBYL 🇧🇾"
Russian Girls Try Indian Food For The First Time! 🇮🇳,2019-02-25T19:45:03Z,3586789,,PT11M28S,"🇧🇾 THE OTHER CHERNOBYL 🇧🇾, 🇷🇺 RUSSIA 🇷🇺, 🇮🇳 INDIA 🇮🇳"
These Guys Will Crush Pewdiepie | India&#39;s YouTube Sensations 🇮🇳,2019-02-16T03:48:42Z,298000,,PT2M47S,
Is Your Country This Crazy? | UFC On The Street 🇮🇳,2019-02-15T06:49:33Z,2899431,,PT4M5S,
You Won&#39;t Believe What Indians Are Reading! | India&#39;s Largest Second Hand Book Market 🇮🇳,2019-02-14T08:19:58Z,1182875,,PT10M14S,
🇮🇳 Trying $0.25 Spicy Tibetan Laping Noodles | India Food Vlog,2019-02-14T05:12:36Z,1472748,,PT5M50S,🇮🇳 INDIA 🇮🇳
Could You Handle This Traffic? | Delhi&#39;s Craziest Junction 🇮🇳,2019-02-12T13:28:28Z,588703,,PT10M23S,🇮🇳 INDIA 🇮🇳
Money Necklace Social Experiment | Thieve&#39;s Market India 🇮🇳,2019-02-11T08:14:36Z,521159,,PT4M49S,🇮🇳 INDIA 🇮🇳
🍺 Trying Diablo | Burma&#39;s Strongest Drink,2019-02-06T08:54:26Z,810788,,PT4M46S,🇲🇲 Burma 🇲🇲
🍺 Trying Diablo | Burma&#39;s Strongest Drink,2019-02-06T08:54:26Z,810788,,PT4M46S,🇲🇲 Burma 🇲🇲
🇲🇲 The Road To Mandalay | Burma Travels,2019-02-06T05:14:38Z,1157266,,PT13M26S,🇲🇲 Burma 🇲🇲
🇲🇲 Lost In Burma | Adventures In Squiggle Town,2019-02-05T12:55:05Z,539994,,PT5M38S,🇲🇲 Burma 🇲🇲
World&#39;s Cheapest Barber Shop | Unexpected Ending In Burma!,2019-02-04T13:41:54Z,545766,,PT4M7S,🇲🇲 Burma 🇲🇲
🇲🇲 Trying 20¢ Cold Burmese Noodles | Worst Meal Ever!,2019-02-03T09:23:24Z,914084,,PT4M24S,🇲🇲 Burma 🇲🇲
Crossing The India-Burma Border On Foot | Welcome To Squiggle Town,2019-02-02T14:02:14Z,2581404,,PT24M44S,"🇲🇲 Burma 🇲🇲, 🇮🇳 INDIA 🇮🇳"
Crossing The India-Burma Border On Foot | Welcome To Squiggle Town,2019-02-02T14:02:14Z,2581404,,PT24M44S,"🇲🇲 Burma 🇲🇲, 🇮🇳 INDIA 🇮🇳"
Inside India&#39;s Smuggling Town 🇮🇳,2019-02-01T05:08:49Z,1809885,,PT16M52S,🇮🇳 INDIA 🇮🇳
India&#39;s Unknown Border | Journey To The Edge Of India 🇮🇳,2019-01-29T06:18:58Z,2313515,,PT22M43S,🇮🇳 INDIA 🇮🇳
🇮🇳 Trying $1.50 Banana Leaf Thali | India Food Vlog,2019-01-22T01:51:22Z,3600128,,PT7M43S,🇮🇳 INDIA 🇮🇳
Is This India?! First Time In North East 🇮🇳,2019-01-21T07:53:14Z,5571456,,PT18M47S,🇮🇳 INDIA 🇮🇳
Foreigner Gives 3 Lakhs to Pakistani Refugees In Delhi!!! 🇮🇳,2019-01-18T03:25:42Z,1069591,,PT6M51S,🇮🇳 INDIA 🇮🇳
Lost On GB Road | Tales From India 🇮🇳,2018-12-26T11:33:34Z,2206274,,PT14M52S,🇮🇳 INDIA 🇮🇳
Delhi&#39;s Worst Bazaar? | Paharganj 🇮🇳,2018-12-20T05:34:02Z,2647685,,PT30M10S,🇮🇳 INDIA 🇮🇳
🇮🇳 $2 Indian Street Massage | Pain or Pleasure?,2018-12-18T03:00:23Z,6944849,,PT13M44S,🇮🇳 INDIA 🇮🇳
Narendra Modi Why Won&#39;t You Help These Hindus?!,2018-12-15T17:58:27Z,1778984,,PT17M48S,🇮🇳 INDIA 🇮🇳
Narendra Modi Why Won&#39;t You Help These Hindus?!,2018-12-15T17:58:27Z,1778984,,PT17M48S,🇮🇳 INDIA 🇮🇳
Varanasi Religious Night Market 🕉,2018-12-14T20:34:43Z,917610,,PT11M26S,
Varanasi Religious Night Market 🕉,2018-12-14T20:34:43Z,917610,,PT11M26S,
Avoiding Religious Scammers And Touts In Varanasi 🕉,2018-12-14T13:28:00Z,4408825,,PT22M4S,🇮🇳 INDIA 🇮🇳
10 Things I Hate About India! 🇮🇳,2018-12-13T11:00:24Z,3065887,,PT10M28S,🇮🇳 INDIA 🇮🇳
Foreigner Teaches Essential Hindi Phrases 🇮🇳,2018-12-13T04:50:33Z,576334,,PT24M30S,
"Sikh For A Day | Amritsar, India",2018-12-12T04:55:47Z,2775379,,PT26M22S,🇮🇳 INDIA 🇮🇳
Morning Vegetable Market Tour 🍆🍌🌽,2018-12-10T09:22:41Z,866711,,PT14M41S,🇮🇳 INDIA 🇮🇳
🇮🇳 Trying $1 Punjabi Kulcha // Indian Food Vlog,2018-12-09T12:47:03Z,2975106,,PT7M23S,
I Give An Indian Man 🍆 Advice  // Full Interview,2018-12-09T06:28:38Z,338431,,PT7M2S,
I Give An Indian Man 🍆 Advice  // Full Interview,2018-12-09T06:28:38Z,338432,,PT7M2S,
Funny India - Pakistan Border Ceremony 🇮🇳,2018-12-08T09:20:47Z,1251098,,PT9M12S,🇮🇳 INDIA 🇮🇳
Foreigner Wears A Turban In India 👳‍♂️,2018-12-07T14:58:52Z,1501190,,PT6M38S,🇮🇳 INDIA 🇮🇳
Tibetan Market &amp; Temple Tour // Delhi,2018-12-07T06:07:44Z,1360935,,PT23M58S,🇮🇳 INDIA 🇮🇳
Tibetan Market &amp; Temple Tour // Delhi,2018-12-07T06:07:44Z,1360935,,PT23M58S,🇮🇳 INDIA 🇮🇳
Delhi&#39;s  Secret Tibetan Colony | Majnu-ka-tilla,2018-12-06T12:49:19Z,1348169,,PT27M4S,🇮🇳 INDIA 🇮🇳
On The Run From The Indian Police 👨🏾‍✈️,2018-12-02T11:06:23Z,1611382,,PT6M55S,🇮🇳 INDIA 🇮🇳
On The Run From The Indian Police 👨🏾‍✈️,2018-12-02T11:06:23Z,1611382,,PT6M55S,🇮🇳 INDIA 🇮🇳
Attacked At India&#39;s Most Expensive Hotel 🇮🇳,2018-12-01T12:50:12Z,1971811,,PT4M45S,🇮🇳 INDIA 🇮🇳
Crazy Indian Street Bar // Kingfeemer Time!,2018-11-28T14:22:20Z,1341070,,PT10M45S,🇮🇳 INDIA 🇮🇳
Crazy Indian Street Bar // Kingfeemer Time!,2018-11-28T14:22:20Z,1341070,,PT10M45S,🇮🇳 INDIA 🇮🇳
Rickshaw Scam | First Day Back In India!,2018-11-27T16:39:09Z,1991271,,PT9M15S,🇮🇳 INDIA 🇮🇳
Rickshaw Scam | First Day Back In India!,2018-11-27T16:39:09Z,1991273,,PT9M15S,🇮🇳 INDIA 🇮🇳
India&#39;s Russian Beach | Arambol 🇷🇺,2018-11-20T19:37:28Z,5938559,,PT6M6S,🇮🇳 INDIA 🇮🇳
Goa Beach Hotel Hunt India,2018-11-18T05:34:45Z,3947073,,PT14M21S,🇮🇳 INDIA 🇮🇳
"Jodhpur Backstreet Tour,  India",2018-11-17T08:01:47Z,782687,,PT12M55S,
Foreigners Ride A Local Indian Bus!,2018-11-16T07:37:43Z,1383232,,PT11M37S,
Foreigners Ride A Local Indian Bus!,2018-11-16T07:37:43Z,1383232,,PT11M37S,
Indian Bus Scammer Exposed! 🇮🇳,2018-11-14T07:31:23Z,1222496,,PT8M30S,🇮🇳 INDIA 🇮🇳
Indian Bus Scammer Exposed! 🇮🇳,2018-11-14T07:31:23Z,1222496,,PT8M30S,🇮🇳 INDIA 🇮🇳
I Almost Died In India //Terrifying Fairground Ride,2018-11-13T21:06:39Z,2095870,,PT7M6S,🇮🇳 INDIA 🇮🇳
Arrival In India,2018-11-13T13:13:00Z,1190515,,PT9M8S,
Avoid This Guy In India! | Crazy Beggar,2018-11-12T18:36:50Z,9800837,,PT4M49S,🇮🇳 INDIA 🇮🇳
Avoid This Guy In India! | Crazy Beggar,2018-11-12T18:36:50Z,9800837,,PT4M49S,🇮🇳 INDIA 🇮🇳
Exploring Mumbai&#39;s Oldest Market,2018-11-11T17:55:53Z,1185173,,PT23M46S,🇮🇳 INDIA 🇮🇳
Riding The Rails In Mumbai // India,2018-11-10T07:38:41Z,170045,,PT2M38S,
Solo In India&#39;s Biggest Slum | Dharavi Mumbai,2018-11-10T05:05:50Z,3194819,,PT48M59S,🇮🇳 INDIA 🇮🇳
Solo In India&#39;s Biggest Slum | Dharavi Mumbai,2018-11-10T05:05:50Z,3194819,,PT48M59S,🇮🇳 INDIA 🇮🇳
Mumbai Mall Party,2018-11-09T16:46:21Z,1995020,,PT17M44S,🇮🇳 INDIA 🇮🇳
Mumbai Mall Party,2018-11-09T16:46:21Z,1995020,,PT17M44S,🇮🇳 INDIA 🇮🇳
Mumbai Islamic Market Hunt 🕋,2018-11-05T16:42:44Z,400127,,PT14M52S,
Bombay Bhabhi Market Hunt 🍆,2018-11-04T15:23:58Z,2564922,,PT13M27S,🇮🇳 INDIA 🇮🇳
This Is How You Find A Job In India 🇮🇳,2018-11-03T15:26:36Z,395548,,PT4M36S,
Goa To Mumbai Adventure 🇮🇳,2018-11-01T20:15:35Z,993505,,PT11M,🇮🇳 INDIA 🇮🇳
Mumbai Antique Market Hunt // Chor Bazaar,2018-11-01T07:56:28Z,2618297,,PT21M36S,🇮🇳 INDIA 🇮🇳
India $1 Gym Workout 🇮🇳,2018-10-30T16:37:20Z,1141291,,PT5M4S,
India $1 Gym Workout 🇮🇳,2018-10-30T16:37:20Z,1141291,,PT5M4S,
