Title,ID,URL,Published Date,Viewer Count,Chapter Markers,Description,Duration,Playlists
Vietnam: The Nation That Would Not Submit 🇻🇳,M-X1m4dGE9Y,https://www.youtube.com/watch?v=M-X1m4dGE9Y,2022-12-10 08:25:11 ,1891801,/,"🇻🇳 It's miraculous that the nation of Vietnam even exists because for over 1000 years mightier neighbours have been trying to invade and subjugate it, be that the Mongols, Chinese, French or USA. Yet the Vietnamese held on and defended their land thanks to leaders like Ho Chi Minh. Well I flew in with two friends to explore this proud nation and to re-visit some of its darker past. Join me in this the first part of the journey.

To seer other versions of this journey please visit @BackpackerBen and @TimKyoutube  who both recorded this journey for their channels called Backpacker Ben and Tim K.",PT28M33S,
The JAPAN You Never Knew Existed 🇯🇵,fQ8oeqAu8dw,https://www.youtube.com/watch?v=fQ8oeqAu8dw,2022-11-27 01:36:19 ,2936809,/,"🇯🇵 We are all a bit fascinated by Japan aren't we. So distant and yet so modern and futuristic. I'm no different and have always wondered what the country was like however what really intrigued me was what it had to offer beyond the huge metropolis of Tokyo. Was the whole country wealthy and modern and full of robot restaurants and Harijuku fashionistas? Or were the provinces something else? A place that suffers from the same economic and social problems that much of the rest of the world does? Well to find out I set off across Japan with my mate @BackpackerBen to see for ourselves, choosing a random town called Itaigowa from the map. What we found was not the Japan we knew existed.

Join us because I think we're turning Japanese, I really think so...

Thanks to Chris from @AbroadinJapan for all his advice behind the scenes. If you don't know his channel yet then definitely check it out for mad Japanese content that is ten times better than anything I could make.

Also check out @GabrielTravelerVideos who has lots of Japanese videos from his recent trip

Also I misspoke about Megumi Yokota. Her school wasn’t there but further up the coast",PT34M17S,
Visiting The World&#39;s Most Dangerous Country 🇦🇫,y2Nba4MMBAU,https://www.youtube.com/watch?v=y2Nba4MMBAU,2022-10-08 08:53:23 ,5955274,/,"🇦🇫 What do you think of when you hear the word 'Afghanistan'? Probably not very good things and that isn't surprising. Afghanistan seems to have been in a perpetual state of war since recorded history began. But with the new government in place and the country supposedly somewhat safer now than at any time in the last 20 years I decided to go and investigate the mysterious landlocked country for myself to see how life was progressing. It was quite the adventure. Welcome to Taliban Land...

Please check out Backpacker Ben's YouTube channel for his Afghan videos.",PT1H12M29S,
The Journey Is Over 🇷🇺,qyB1l-89KEk,https://www.youtube.com/watch?v=qyB1l-89KEk,2022-09-01 12:06:02 ,4255358,/,"This journey that started for me aged 17 in Anna’s Russian class has now come to an end. I have been officially banned from Russia for a period of three years. What great memories were created. From the villages of the Komi republic to the mountains of Dagestan, to the Siberian forests and Baikal, we have experienced so many adventures. I'll always remember the amazing Russian people I met with great fondness but it's time to to bring the curtain down.  

Glory to the USSR!",PT30M59S,🇷🇺 RUSSIA 🇷🇺
Solo Through Romania&#39;s Dark Past 🇷🇴,aro2vgpcpis,https://www.youtube.com/watch?v=aro2vgpcpis,2022-08-05 19:44:57 ,3560775,"{'The Astra Building': '18:06 - 30:34', 'Nikolai Chalcesca': '30:34 - 36:07', 'The Communist Museum': '36:07 - 41:52', 'Nikolai Ceausescu': '41:52 - 43:24', 'Nikolai Chalczewski': '43:24 - 50:46'}","🇷🇴Deep in the heart of Eastern Europe lies the nation of Romania. A mysterious land to many with its own history of villains and heroes. And it was in search of one such polarising figure that I began a journey across this land ( by the world’s greatest train ) in the footsteps of Ceaucescu. Join me on this personal journey which I have long dreamed of making as we trace the leader’s final days in power and his ultimate demise. 

Shoutout to all the friendly Romanian people I met on the journey. 

The prequel to this video can be found on the Daily Bald channel.",PT50M46S,
This Video Caused An International Incident! ( Spaceship Discovery ),0fZ-r5Qe3tM,https://www.youtube.com/watch?v=0fZ-r5Qe3tM,2022-07-31 07:16:32 ,4932751,/,"🇷🇺Since we began exploring the former USSR we have discovered all kinds of wonderful examples of Soviet art and technology. However this time I went in search of the biggest prize of all…I just didn’t realise it would cause such a fuss as it did. Glory to the Soviet space engineers and cosmonauts! Glory to the Buran!

Check out the Instagram @lanasator for some great photos from Buran and other areas of the former USSR. Without her advice and knowledge this video wouldn’t have been possible.",PT40M31S,☭ Soviet Playlist ☭
This Is Britain! 🇬🇧 ( Nation of Madlads ),7URQ2h5yORs,https://www.youtube.com/watch?v=7URQ2h5yORs,2022-06-21 17:44:27 ,4406235,"{'Penzance': '3:11 - 20:46', 'Blackpool': '20:46 - 32:49', 'Scotland': '32:49 - 47:19', 'Loch Ness': '47:19 - 50:10'}","🇬🇧 Having travelled to weird and distant locations over the last four years I thought it was finally time to visit my own nation, Great Britain. A land with a rich history and as you'll see if you watch this video, some absolutely great people who are as funny and friendly as you'll find anywhere else in the world. Join me and my mate @BackpackerBen as we drive the length of Britain visiting towns unknown to outsiders and where we meet some true characters. Rule Britannia!",PT50M10S,
Entering A Mysterious Exclave You&#39;ve Never Heard Of  ( In A Soviet Bi-plane ),34XymEDY9Wc,https://www.youtube.com/watch?v=34XymEDY9Wc,2022-05-17 12:00:28 ,3275374,/,"Earlier this year myself and Alina tried entering an Uzbek exclave surrounded entirely by Kyrgyzstan. If you saw the video you will know that we were not allowed in. But we don't give up that easy...And so when we discovered that there was a new flight route started up from Uzbekistan to the unknown exclave of Sokh we decided we would have to investigate and try to get in somehow to see what lay there beyond the mountains. Oh and it just happened to mean flying on an old Soviet bi-plane. How could anyone resists such an adventure?!

Buckle up for a Soviet adventure in the mysterious land called Sokh.
First exclave video can be seen here: https://www.youtube.com/watch?v=dmKRNQfp_Y0&t=2296s",PT33M28S,☭ Soviet Playlist ☭
The Syria The Media Won&#39;t Show You 🇸🇾,c6d0zw-DxpU,https://www.youtube.com/watch?v=c6d0zw-DxpU,2022-04-24 16:03:59 ,4324753,/,"Get Surfshark VPN at https://surfshark.deals/bankrupt - Enter promo code BANKRUPT for 83% off and 3 extra months for FREE! 

🇸🇾 I always thought the Middle East was just rock and sand and full of fanatical nutters. I mean that's all the media ever show us isn't it. And so to cast off my ignorance and prejudice I travelled down to the country with probably the worst reputation of all, Syria. I was joined by Wales's most famous culinary expert @SimonWilson12 ( check out his channel for his videos from the trip ) and our new Syrian mate Rami for a journey that both educated and surprised us. Maybe it will surprise and educate you a little bit too and next time you watch some depressing news report from the country you will be able to better draw your own conclusions. Watch this ( the longest video I have ever made ) and find out for yourselves. Shukran habibis.

🇸🇾 I used an independent tour agency to travel to Syria. www.marrota.com  
I highly recommend them if you are considering visiting. The manager can be contacted here: ayoub@marrota.com",PT50M39S,
Leaving Kyiv On A Refugee Train 🇺🇦,hzBxFH_hEwA,https://www.youtube.com/watch?v=hzBxFH_hEwA,2022-02-28 14:18:19 ,7261893,/,"🇺🇦 With reports that the city of Kyiv was soon to be closed off I decided the best thing to do was to join the crowds and leave for the border before being stuck. Whilst it was a sad to see the people leaving their homes behind and taking their kids and pets with them towards an uncertain future it also showed the best of the people. Spirits were high, nobody panicked, people shared food and drinks with each other. It was humbling to be a part of it. 

https://www.withukraine.org",PT19M46S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
Solo Along The Ukrainian-Russian Border ( One Day Before Invasion ),f2rBUvWKSZw,https://www.youtube.com/watch?v=f2rBUvWKSZw,2022-02-27 12:43:40 ,4812315,/,🇺🇦Who could have predicted the horrors which were about to befall on Ukraine. I went there like so many others thinking an agreement would be reached at the last moment. Alas...,PT18M58S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
Avoid this Soviet Exclave!,dmKRNQfp_Y0,https://www.youtube.com/watch?v=dmKRNQfp_Y0,2022-01-15 13:37:59 ,4722753,"{'Yuri Gagarin Statue': '9:05 - 12:04', 'Balikchi': '12:04 - 30:47', 'Aeroflot Mosaic': '30:47 - 44:29'}","If you look at a detailed map of Kyrgyzstan in Central Asia you will see some strange shapes appearing in the very south of the country. These are the Soviet formed exclaves belonging to both Uzbekistan and Tajikistan. They were formed in the 1950s to answer the question of what to do with small regions which were ethnically diverse from the Kyrgyz Republic the people had found themselves living in due to Stalin's map making. 

These exclaves had always intrigued me and I wondered what life was like in them. However there is zero information online about visiting them. However I am always up for a wasted journey so I hired a car in northern Kyrgyzstan and drove 1000kms to one of these exclaves to see if foreigners were allowed to enter or not.

Join me on a wild adventure towards the mysterious mountain exclave of Shohimardon...",PT44M29S,☭ Soviet Playlist ☭
I Got Drunk With Lithuania&#39;s Most Notorious Gangster 🇱🇹,D7t5Mgv5js0,https://www.youtube.com/watch?v=D7t5Mgv5js0,2021-11-23 22:56:55 ,2539236,/,"🇱🇹 As the USSR entered its final stages, law and order began to break down and there began a period which has since been called the period of 'Bandit Capitalism'. This was a period when gangs protected by tough sambo fighters and boxers from the different republics began to form and to exploit the new riches that were to be found in the burgeoning capitalist era. One of those gangs was known as the Vilnius Gang which had a fierce reputation in Lithuania and further afield. 

I have always been fascinated by that short period of history and how those gangs operated and so when I was invited into a former member of the Vilnius Gang's home, well I of course accepted. Fortunately my bodyguard @JohnnyFD was with me. This would possibly be the night he would earn his usual $7 fee.

Thanks to everyone at Azerai cafe in Vilnius who allowed us to film the evening ( best food in Vilnius and Soviet vibes ) and huge thanks to Tadeus and Anastasia for their hospitality and the Soviet presents. Was a pleasure meeting you all.

Instagrams:
johnnyfdj ( Mongolian bodyguard )
realbaldandbankrupt ( me )
azerai ( best kebab place in the former USSR )
tadeusvasilevskij ( the big man )",PT15M21S,☭ Soviet Playlist ☭
Visaginas: Lithuania&#39;s Nuclear Town  🇱🇹,KI2VHBelyXI,https://www.youtube.com/watch?v=KI2VHBelyXI,2021-11-19 14:23:09 ,2232067,"{'and the centre is further on? the centre is around': '7:35 - 10:51', 'i just wanted to look inside a little shop in beautiful little visaginas': '10:51 - 12:46', 'a soviet town! when did you move here or were you born here?': '12:46 - 17:05', 'hello! what was this building before?': '17:05 - 22:39'}","🇱🇹 Since Lithuania gained it's independence in 1991 it has removed as much of its Soviet past as it possibly could unlike in other post-Soviet republics where there are constant reminders of the USSR around every corner. However in the north of the country lies the town of Visaginas where I was told I could find the last remaining Soviet mosaic ( kind of ). Join me as I head north to see how life is in Visaginas which was built to house the workers from the nearby atomic power station and maybe meet some babushkas on the way. 

Check out @JohnnyFD's channel here: http://youtube.com/johnnyfd",PT22M39S,
The BAM: Russia&#39;s Unknown Trans-Siberian Train🇷🇺,f2d7kJPimyE,https://www.youtube.com/watch?v=f2d7kJPimyE,2021-10-27 04:38:40 ,3945481,/,"🇷🇺 We have all heard of the Trans-Siberian, Russia's mega train journey that crosses Siberia as it skirts the Chinese border. But few have heard of the even more impressive B.A.M ( Baikal Amur Mainline ) which passes through virgin forest in the middle of Siberia. Built in the 1970s by young communists, the BAM is the greatest construction project of the 20th Century. And yet it is unknown in the West.

I decided to go and ride this unknown journey across northern Siberia and speak to the people who came to build it. Join me as we ride 'The Bam'!

The journey route: Tayshet-Severobaykalsk-Novi Uoyan-Tinda

Instagram: realbaldandbankrupt",PT34M57S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Looking For A Drink In Deepest Siberia 🇷🇺,zTGd8TxWfDg,https://www.youtube.com/watch?v=zTGd8TxWfDg,2021-10-22 09:33:26 ,4983011,/,"🇷🇺 What does a man have to do to get a beer around here? Well if you're in the Siberian town of Taiga then the answer is quite a lot. I searched everywhere for a beer and met legends on the way. Welcome to the towns other bloggers don't show you, where everyone is a character with a twinkle in their eye. 

For you guys searching on a map for the towns I visit in this film, they are: Novosibirsk-Bolotnoe-Tomsk-Taiga-Taishet

This is part three of my journey across Siberia. Follow my Insta for trip photos @realbaldandbankrupt",PT29M15S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Inside Perm 36: The Last Gulag,uDH_o8RqR0Y,https://www.youtube.com/watch?v=uDH_o8RqR0Y,2021-10-07 14:11:24 ,3677250,"{'give me a large con carne pizza for my little friends': '17:34 - 32:39', 'your former president': '32:39 - 33:36', ""i just noticed your advert of Rassputin's mens club"": '33:36 - 35:55'}","🇷🇺 Under Stalin the G.U.LAG ( Main Administration of Camps ) system spread out across what was the former Soviet Union, swallowing up citizens and foreigners from all corners of the empire. Ukrainians, Estonians, Kyrgyz etc. were taken from their homes and sent north in box cars to the camps to work away their stretches. Millions passed through the camps and many never returned home. Those camps have long been dismantled or converted into regular factories and work places and you'd be hard pressed to know that you were visiting a former camp. However Perm 36 logging camp has been preserved and so I travelled to the very edge of Europe to a village called Kutchino to visit the last Gulag and to see how the prisoners lived.",PT35M55S,🇷🇺 RUSSIA 🇷🇺
Solo On The World&#39;s Longest Train Journey 🇷🇺,kVB20yiNCPE,https://www.youtube.com/watch?v=kVB20yiNCPE,2021-10-05 18:22:19 ,4984468,/,"🇷🇺The Trans-Siberian train, who hasn't dreamt of taking it across this leviathan of a country? Well not me to be honest but somehow I decided to override my dread of endless train rides to show you what nobody has shown you before. The real Trans-Siberian. This isn't a package tour, nothing is booked in advance. It's just me on my own hopping from town to town on whichever train is leaving next, meeting locals, drinking vodka, avoiding snorers, exploring Russia. Join me!",PT38M19S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Looking For Love In A Ukrainian Village ( Isn&#39;t Easy ) 🇺🇦,RPUsuDTnnFM,https://www.youtube.com/watch?v=RPUsuDTnnFM,2021-08-29 10:59:46 ,1686293,/,"🇺🇦 We all want to find that special someone, the person who will accept us and love us despite our madness and idiosyncrasies. We all hope that that person is out there somewhere waiting to be found. And so when myself and Johnny met a woman on a provincial bus journey who told us of the mythical village of Sofiivka, a place supposedly full of fair village maidens all searching for husbands, we decided that we would have to travel there and investigate for ourselves to see if we could find true love. Get ready for the feel good movie of the year...

Subscribe to romantic Johnny here: https://www.youtube.com/user/JohnnyJ3N",PT13M53S,🇺🇦 Ukraine 🇺🇦
Dodgy Burgers And Gopnik Dogs In Ukraine 🇺🇦,VlEdku1-1gA,https://www.youtube.com/watch?v=VlEdku1-1gA,2021-08-23 09:15:40 ,1739439,"{'excuse me, is there some kind of transport to pereyaslav?': '4:48 - 6:42', ""how do you say how are you' in ukrainian?"": '6:42 - 16:52', 'is it ok to drink this water?': '16:52 - 23:43'}","🇺🇦 Greetings from beautiful Ukraine. Myself and my bodyguard Johhny FD left the capitol city Kyiv on a provincial adventure to the town of Pereyaslav in search of a Soviet Cosmic church I had tried and failed to visit last winter. On the way we learnt some more about this great country, for example: to always avoid Burger City, how not to serenade babushkas and that even dogs have bad reputations and are banned from shopping at some places. Join us on a trip to what might actually be Ukraine's friendliest little town, Pereyaslav.

The first video about Pereyaslav from the winter can be found here: https://www.youtube.com/watch?v=ETHMzJmgz1k

Johhny FD channel is here: https://www.youtube.com/user/JohnnyJ3N",PT23M43S,🇺🇦 Ukraine 🇺🇦
Ukraine&#39;s Frustratingly Long City: Kryvyi Rih 🇺🇦,StvRgJBCaks,https://www.youtube.com/watch?v=StvRgJBCaks,2021-08-10 16:32:45 ,2139493,"{'Krivi Rigg Musical College': '18:29 - 20:00', 'The Old Soviet Post Office': '20:00 - 21:21', ""The Old Soviet Children's Theatre"": '21:21 - 27:07', 'Last Soviet Monument': '27:07 - 28:28'}","🇺🇦 Doing the simplest of tasks like popping to the shop for a loaf of bread is no simple thing in Kryvyi Rih. That's because it's seemingly the longest city in the bloody world and going anywhere takes a bloody eternity and ends in sweaty frustration. However I was on a mission to seek out its Soviet past so I stopped complaining and set off on an adventure in search of an old dude with a Lada. Join me as we go back in time to good old Kryvyi Rig, Ukraine's most frustrating city.

Check out my other channel 'Daily Bald' for shorter videos.",PT28M28S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
KhTZ: Ukraine&#39;s Most Dangerous Hood 🇺🇦,cgV8q0rwUzs,https://www.youtube.com/watch?v=cgV8q0rwUzs,2021-08-05 21:24:13 ,6971687,/,"🇺🇦 I hadn't been in Kharkiv very long before I started hearing about the dodgy gopnik filled suburb called KhTZ ( Kharkiv Tractor Plant ). None of the people I spoke to had actually been but they all told me stories of a region known for its fights and muggings. Well I decided to go check it out with my good mate Johnny. Join us both on a gopnik adventure in Ukraine's dodgiest hood.

You can follow Johnny here at his YouTube channel: https://www.youtube.com/johnnyfd",PT21M38S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
Solo Through War-Torn Donbass 🇺🇦,2bNzjBJF_G0,https://www.youtube.com/watch?v=2bNzjBJF_G0,2021-03-08 12:58:32 ,6946906,"{'no filming in the metro!': '1:32 - 5:17', 'when is the next bus to selidovo?': '5:17 - 20:19', 'look, 24 kilometres to the centre of donetsk': '20:19 - 26:17', 'when is the next bus to lisichansk?': '26:17 - 35:30'}",🇺🇦 In 2014 the Ukrainian part of the Donbass erupted into war. Separatists from the Lugansk and Donetsk regions took up arms and took control of Ukrainian towns all along the eastern region of the country. Eventually they were pushed back until they controlled just the cities of Lugansk and Donetsk and some surrounding villages. I went off to visit some of the towns that the Ukrainian army had re-taken along the front lines to see how life was progressing and to hunt for the ultimate Soviet mosaic...,PT35M30S,"🇺🇦 Ukraine 🇺🇦, ☭ Soviet Playlist ☭"
The Ukraine You&#39;ve Never Seen before 🇺🇦,quNyiLseWkg,https://www.youtube.com/watch?v=quNyiLseWkg,2021-03-01 16:32:14 ,2654313,"{'The Big Old Soviet Mosaic': '14:14 - 22:56', 'The Soviet Mosaic': '22:56 - 23:48', 'The End of the Second World War': '23:48 - 30:56', 'Maldavanka': '30:56 - 33:12'}","🇺🇦 There are plenty of videos on YouTube about Ukraine and they all show the same things; pretty churches in Kyiv, beaches in Odessa or Lviv's incredible town square. But did we really learn about the country from those generic films? I don't believe so. And so I wanted to travel off the beaten track and show you the real places and meet the real people of Ukraine away from the cliches. Oh and we will search for some Soviet mosaics too. Join me on an adventure in what may well be Europe's friendliest and least understood country.",PT33M12S,🇺🇦 Ukraine 🇺🇦
Solo In Estonia&#39;s East 🇪🇪,1ltZR9IWXaE,https://www.youtube.com/watch?v=1ltZR9IWXaE,2021-02-04 14:45:53 ,3992466,/,🇪🇪 We all know about Tallinn the vibrant capital of Estonia with its tech start-ups and modern infrastructure. It's lauded as a miracle of the post-Soviet sphere and rightly so. But what about the rest of the country? Is that reaping the benefits of EU accession too? I jumped on a train heading east to find out...,PT27M40S,☭ Soviet Playlist ☭
The Road To Karabakh 🇦🇲,_HBBSG7tAfQ,https://www.youtube.com/watch?v=_HBBSG7tAfQ,2021-01-07 11:42:33 ,2495002,"{'Mount Ararat': '0:04 - 5:40', 'Exclave Azerbaijan': '5:40 - 8:55', 'Lake Savannah': '8:55 - 9:19', 'Lake Sevan': '9:19 - 15:10', 'Armenia Silk Road': '15:10 - 24:24'}",🇦🇲 The Nagorno-Karabakh region which had been quiet for the last decade recently boiled over again when Azerbaijan mounted an attack which led to it conquering much of the territory it had lost in the previous war. I flew into a bitterly cold Yerevan in early January with the intention of heading down to the capital Stepanakert to see what was happening there since the war. Would I make it or not?,PT24M24S,"🇦🇲ARMENIA🇦🇲, ☭ Soviet Playlist ☭"
Mexico&#39;s Worst Breakfast 🇲🇽,mYU_tKMLZy0,https://www.youtube.com/watch?v=mYU_tKMLZy0,2020-12-30 06:57:30 ,1899501,/,"🇲🇽 Hola todos! Culiacán, city of the Sinaloa cartel, cocaine and for a brief period, Diego Maradona. But the one thing they never tell you about is the orgasmatron lady of the city centre or the terrible table manners of Simon Wilson who barges into cafes throwing his Jugo Chavez all over the place. 

Check out Simon's awesome Youtube channel 'Simon Wilson' for awesome adventures from the cheeky Welshman.",PT9M39S,🇲🇽 Viva Mexico! 🇲🇽
Hunting The Caspian Sea Monster 🇷🇺,V2xVSmzPzW4,https://www.youtube.com/watch?v=V2xVSmzPzW4,2020-11-28 22:36:40 ,3436198,/,"🇷🇺 In the 1960s American spy satellites photographed a huge leviathan craft docked in the Caspian Sea. The CIA dubbed it the Caspian monster. It was however a top secret Ekranoplan that was built for war. It remained in a naval dockyard under lock and key after the USSR collapsed until recently when it broke free and washed ups on a beach a few hours to the south near the Russian city of Derbent. I flew to Rostov and set off across the varied landscapes and cultures of Southern Russia in search of the infamous Caspian monster.

Kalmyk song on radio is called Eejin Duun by Okna Tsahan Zam and is on YouTube if you search it.",PT43M10S,"☭ Soviet Playlist ☭, 🇷🇺 RUSSIA 🇷🇺"
Would You Drive This Mountain Road? 🇰🇬,hkivQ20J6WY,https://www.youtube.com/watch?v=hkivQ20J6WY,2020-11-04 11:15:49 ,1507246,/,🇰🇬I left Kyrgyzstan's worst hotel and headed towards the high peaks of the Ala-Too mountain range on my way towards the radiated town of Mailuu-Suu. And for once I had a friend with me. Join me on a Central Asian road trip...,PT13M32S,
Solo In A Closed Soviet City ⛔️,CtYgsifAhtY,https://www.youtube.com/watch?v=CtYgsifAhtY,2020-11-03 10:15:56 ,1965181,"{'The Old House of Culture': '4:20 - 11:51', 'Sports Stadium': '11:51 - 12:02', 'Olympic Flame': '12:02 - 14:44', 'Miley Zoo': '14:44 - 19:08'}",⛔️ The Soviet Union had a policy of closing towns and cities of strategic and military importance off to the outside world. Even Soviet citizens couldn't enter Maylisuu due to its Uranium mines which were so important to the nuclear weapons program. Well I decided to head to deepest Kyrgyzstan to see what a formerly closed city looked like back then and see how life was progressing now. Join me as I become one of the few foreigners to ever enter Maylisuu.,PT19M8S,
I Slept In Kyrgyzstan&#39;s Worst Hotel 🇰🇬,XZ7-sGmNrDw,https://www.youtube.com/watch?v=XZ7-sGmNrDw,2020-11-01 19:57:03 ,3346497,/,"🇰🇬 Ever wanted to know what life was like in mysterious Central Asia? Want to see what kind of hotel rooms a couple of $ will get you? Well join me as I drive across Kyrgyzstan in search of a town called Miley Suu and on the way meet a host of characters in the semi-abandoned villages of the country. Oh, and I found a nice apartment block for us all to move into.

Instagram: realbaldandbankrupt",PT26M,☭ Soviet Playlist ☭
